Unnamed: 0,Questions rating,Responses rating
0,0.6666666666666666,0.7777777777777778
1,0.25,0.25
2,0.6,0.8
3,0.7272727272727273,0.9090909090909092
4,0.2222222222222222,0.7777777777777778
5,-0.1111111111111111,0.4444444444444444
6,0.6666666666666666,0.6666666666666666
7,0.375,0.5
8,0.25,0.8333333333333334
9,0.5714285714285714,0.2857142857142857
10,0.0625,0.375
11,0.2727272727272727,0.4545454545454545
12,0.25,0.3125
13,0.2222222222222222,0.6666666666666666
14,0.375,0.6875
15,-0.125,0.25
16,0.0,0.3636363636363636
17,0.0,0.3636363636363636
18,0.2352941176470588,0.7647058823529411
19,0.7222222222222222,0.6666666666666666
20,0.5833333333333334,0.6666666666666666
21,0.1666666666666666,0.5
22,-0.2142857142857142,0.7857142857142857
23,0.35,0.631578947368421
24,0.0,0.4545454545454545
25,0.3333333333333333,0.7777777777777778
26,0.5833333333333334,0.9166666666666666
27,0.45,0.8
28,0.6956521739130435,0.7391304347826086
29,0.4375,0.8125
30,0.3333333333333333,0.7777777777777778
31,-0.1666666666666666,0.4444444444444444
32,0.0555555555555555,0.3888888888888889
33,0.5,0.7142857142857143
34,0.625,0.8125
35,0.5333333333333333,0.6
36,0.0,0.2222222222222222
37,0.5,0.5
38,0.0,0.5882352941176471
39,0.0,0.1111111111111111
40,0.0,0.5333333333333333
41,-0.0833333333333333,0.1666666666666666
42,0.1875,0.5625
43,0.1,0.6
44,0.0588235294117647,0.3529411764705882
45,0.3333333333333333,0.7777777777777778
46,0.5,0.75
47,0.5,0.9285714285714286
48,0.2,0.7
49,0.0833333333333333,0.5833333333333334
50,0.2,0.5
51,0.3076923076923077,0.6153846153846154
52,0.2142857142857142,0.4285714285714285
53,0.5,0.3888888888888889
54,0.1111111111111111,0.2777777777777778
55,0.1904761904761904,0.4761904761904761
56,-0.25,0.4166666666666667
57,0.4210526315789473,0.7894736842105263
58,0.2,0.8
59,0.0,0.25
60,0.0,0.0
61,0.4166666666666667,0.6666666666666666
62,0.5454545454545454,0.8181818181818182
63,0.1875,0.625
64,0.3333333333333333,0.9166666666666666
65,0.3076923076923077,0.3846153846153846
66,0.3809523809523809,0.5238095238095238
67,0.2,0.9
68,0.1739130434782608,0.5217391304347826
69,0.5384615384615384,0.6923076923076923
70,0.1176470588235294,0.7058823529411765
71,0.3076923076923077,0.4615384615384615
72,0.0909090909090909,0.4545454545454545
73,0.7,1.0
74,0.4,0.8
75,0.3846153846153846,0.7692307692307693
76,0.1428571428571428,0.7857142857142857
77,0.2142857142857142,0.7142857142857143
78,0.3846153846153846,0.8461538461538461
79,0.5384615384615384,0.7692307692307693
80,0.0,0.7058823529411765
81,0.3846153846153846,0.4615384615384615
82,0.1,0.3
83,-0.1176470588235294,0.4705882352941176
84,-0.0909090909090909,0.1818181818181818
85,0.2,0.8
86,0.0,0.5
87,0.3076923076923077,0.3076923076923077
88,0.1,0.8
89,0.0666666666666666,0.6666666666666666
90,0.2,0.5
91,0.0714285714285714,0.5
92,0.4285714285714285,0.7142857142857143
93,0.3888888888888889,0.7777777777777778
94,0.3076923076923077,0.5384615384615384
95,0.3636363636363636,0.4545454545454545
96,0.3333333333333333,0.8
97,0.0,0.5454545454545454
98,0.1666666666666666,0.5833333333333334
99,0.0555555555555555,0.2777777777777778
100,0.4615384615384615,0.3846153846153846
101,-0.0769230769230769,0.6153846153846154
102,0.1764705882352941,0.7058823529411765
