Date,interview length,Questions rating,Responses rating,practice,game,win_prac_loss,win,loss
11-Oct-20,9,0.666666667,0.777777778,0,1,1,1,0
9-Oct-20,8,0.25,0.25,0,1,-1,0,1
8-Oct-20,10,0.6,0.8,1,0,0,0,0
6-Oct-20,11,0.727272727,0.909090909,0,1,1,1,0
5-Oct-20,9,0.222222222,0.777777778,1,0,0,0,0
4-Oct-20,9,-0.111111111,0.444444444,0,1,-1,0,1
2-Oct-20,6,0.666666667,0.666666667,0,1,1,1,0
30-Sep-20,8,0.375,0.5,0,1,1,1,0
29-Sep-20,12,0.25,0.833333333,1,0,0,0,0
8-Jun-18,14,0.571428571,0.285714286,0,1,-1,0,1
7-Jun-18,16,0.0625,0.375,1,0,0,0,0
6-Jun-18,11,0.272727273,0.454545455,0,1,-1,0,1
5-Jun-18,16,0.25,0.3125,1,0,0,0,0
3-Jun-18,9,0.222222222,0.666666667,0,1,-1,0,1
2-Jun-18,16,0.375,0.6875,1,0,0,0,0
31-May-18,16,-0.125,0.25,0,1,-1,0,1
30-May-18,11,0.0,0.363636364,1,0,0,0,0
12-Jun-17,11,0.0,0.363636364,0,1,-1,0,1
11-Jun-17,17,0.235294118,0.764705882,1,0,0,0,0
9-Jun-17,18,0.722222222,0.666666667,0,1,1,1,0
8-Jun-17,12,0.583333333,0.666666667,1,0,0,0,0
7-Jun-17,12,0.166666667,0.5,0,1,-1,0,1
6-Jun-17,14,-0.214285714,0.785714286,1,0,0,0,0
3-Jun-17,20,0.35,0.631578947,1,0,0,0,0
1-Jun-17,11,0.0,0.454545455,0,1,-1,0,1
31-May-17,9,0.333333333,0.777777778,1,0,0,0,0
19-Jun-16,12,0.583333333,0.916666667,0,1,1,1,0
18-Jun-16,20,0.45,0.8,1,0,0,0,0
16-Jun-16,23,0.695652174,0.739130435,0,1,1,1,0
15-Jun-16,16,0.4375,0.8125,1,0,0,0,0
13-Jun-16,18,0.333333333,0.777777778,0,1,1,1,0
12-Jun-16,18,-0.166666667,0.444444444,1,0,0,0,0
10-Jun-16,18,0.055555556,0.388888889,0,1,-1,0,1
9-Jun-16,14,0.5,0.714285714,1,0,0,0,0
8-Jun-16,16,0.625,0.8125,0,1,1,1,0
7-Jun-16,15,0.533333333,0.6,1,0,0,0,0
5-Jun-16,9,0.0,0.222222222,0,1,-1,0,1
4-Jun-16,10,0.5,0.5,1,0,0,0,0
3-Jun-16,17,0.0,0.588235294,1,0,0,0,0
2-Jun-16,9,0.0,0.111111111,0,1,-1,0,1
1-Jun-16,15,0.0,0.533333333,1,0,0,0,0
16-Jun-15,12,-0.083333333,0.166666667,0,1,-1,0,1
14-Jun-15,16,0.1875,0.5625,0,1,-1,0,1
13-Jun-15,10,0.1,0.6,1,0,0,0,0
11-Jun-15,17,0.058823529,0.352941176,0,1,-1,0,1
10-Jun-15,9,0.333333333,0.777777778,1,0,0,0,0
9-Jun-15,12,0.5,0.75,0,1,1,1,0
7-Jun-15,14,0.5,0.928571429,0,1,1,1,0
6-Jun-15,10,0.2,0.7,1,0,0,0,0
5-Jun-15,12,0.083333333,0.583333333,1,0,0,0,0
4-Jun-15,10,0.2,0.5,0,1,-1,0,1
3-Jun-15,13,0.307692308,0.615384615,1,0,0,0,0
15-Jun-14,14,0.214285714,0.428571429,0,1,-1,0,1
14-Jun-14,18,0.5,0.388888889,1,0,0,0,0
12-Jun-14,18,0.111111111,0.277777778,0,1,-1,0,1
11-Jun-14,21,0.19047619,0.476190476,1,0,0,0,0
10-Jun-14,12,-0.25,0.416666667,0,1,-1,0,1
8-Jun-14,19,0.421052632,0.789473684,0,1,1,1,0
7-Jun-14,15,0.2,0.8,1,0,0,0,0
6-Jun-14,16,0.0,0.25,1,0,0,0,0
5-Jun-14,7,0.0,0.0,0,1,-1,0,1
4-Jun-14,12,0.416666667,0.666666667,1,0,0,0,0
20-Jun-13,11,0.545454545,0.818181818,0,1,1,1,0
19-Jun-13,16,0.1875,0.625,1,0,0,0,0
18-Jun-13,12,0.333333333,0.916666667,0,1,1,1,0
16-Jun-13,13,0.307692308,0.384615385,0,1,-1,0,1
15-Jun-13,21,0.380952381,0.523809524,1,0,0,0,0
13-Jun-13,10,0.2,0.9,0,1,1,1,0
12-Jun-13,23,0.173913043,0.52173913,1,0,0,0,0
9-Jun-13,13,0.538461538,0.692307692,0,1,1,1,0
8-Jun-13,17,0.117647059,0.705882353,1,0,0,0,0
7-Jun-13,13,0.307692308,0.461538462,1,0,0,0,0
6-Jun-13,11,0.090909091,0.454545455,0,1,-1,0,1
21-Jun-12,10,0.7,1.0,0,1,1,1,0
20-Jun-12,10,0.4,0.8,1,0,0,0,0
19-Jun-12,13,0.384615385,0.769230769,0,1,1,1,0
18-Jun-12,14,0.142857143,0.785714286,1,0,0,0,0
17-Jun-12,14,0.214285714,0.714285714,0,1,1,1,0
16-Jun-12,13,0.384615385,0.846153846,1,0,0,0,0
14-Jun-12,13,0.538461538,0.769230769,0,1,1,1,0
13-Jun-12,17,0.0,0.705882353,1,0,0,0,0
12-Jun-12,13,0.384615385,0.461538462,0,1,-1,0,1
11-Jun-12,10,0.1,0.3,1,0,0,0,0
12-Jun-11,17,-0.117647059,0.470588235,0,1,-1,0,1
11-Jun-11,11,-0.090909091,0.181818182,1,0,0,0,0
9-Jun-11,15,0.2,0.8,0,1,-1,0,1
8-Jun-11,16,0.0,0.5,1,0,0,0,0
7-Jun-11,13,0.307692308,0.307692308,0,1,-1,0,1
6-Jun-11,10,0.1,0.8,1,0,0,0,0
5-Jun-11,15,0.066666667,0.666666667,0,1,1,1,0
4-Jun-11,10,0.2,0.5,1,0,0,0,0
2-Jun-11,14,0.071428571,0.5,0,1,-1,0,1
1-Jun-11,14,0.428571429,0.714285714,1,0,0,0,0
31-May-11,18,0.388888889,0.777777778,0,1,1,1,0
30-May-11,13,0.307692308,0.538461538,1,0,0,0,0
14-Jun-07,11,0.363636364,0.454545455,0,1,-1,0,1
13-Jun-07,15,0.333333333,0.8,1,0,0,0,0
12-Jun-07,11,0.0,0.545454545,0,1,-1,0,1
10-Jun-07,12,0.166666667,0.583333333,0,1,-1,0,1
9-Jun-07,18,0.055555556,0.277777778,1,0,0,0,0
8-Jun-07,13,0.461538462,0.384615385,1,0,0,0,0
7-Jun-07,13,-0.076923077,0.615384615,0,1,-1,0,1
6-Jun-07,17,0.176470588,0.705882353,1,0,0,0,0
